payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
2025-08-25,60410,60410-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,-231.0,10130 Bank : CB current a/c AU$ # 411110236694,Australia,STRIPEREFUND,MATCHED - Stripe ID: ch_3RyaDOLrnBTnlT7b0hSUPgeE,,2,,CPMT: 60410-POA,CPMT: 60410-POA-25/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
2025-08-25,92937,92937-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,-382.25,10130 Bank : CB current a/c AU$ # 411110236694,Australia,STRIPEREFUND,MATCHED - Stripe ID: ch_3RxHnFLrnBTnlT7b0Zco7zUe,,2,,CPMT: 92937-POA,CPMT: 92937-POA-25/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
2025-08-25,57032,57032-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,-302.08,10130 Bank : CB current a/c AU$ # 411110236694,Australia,STRIPEREFUND,MATCHED - Stripe ID: ch_3Rw0omLrnBTnlT7b0G0SgndV,,2,,CPMT: 57032-POA,CPMT: 57032-POA-25/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
2025-09-03,49605,49605-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,-307.24,10130 Bank : CB current a/c AU$ # 411110236694,Australia,STRIPEREFUND,MATCHED - Stripe ID: ch_3Rw0kULrnBTnlT7b0fiMOdUP,,2,,CPMT: 49605-POA,CPMT: 49605-POA-03/09/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
2025-09-18,92933,92933-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,-382.25,10130 Bank : CB current a/c AU$ # 411110236694,Australia,STRIPEREFUND,MATCHED - Stripe ID: ch_3Rvp0HLrnBTnlT7b0IHkmZPj,,2,,CPMT: 92933-POA,CPMT: 92933-POA-18/09/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
