payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo,journal_type,memo
14/10/2025,51113,51113-DDI00058,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,110.67,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD2DA390362L1Y77U,2.0,,ch_3SI7urKUOwSvugXx1vlRWYZE,CPMT: 51113-DDI00058,CPMT: 51113-DDI00058-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 51113
14/10/2025,16824,16824-DDI00122,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,156.75,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDW667C2AKNZ0V40Z,2.0,,ch_3SI7teKUOwSvugXx0wmLPwn0,CPMT: 16824-DDI00122,CPMT: 16824-DDI00122-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 16824
14/10/2025,40032,40032-DDI00081,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,336.75,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDKAC227JSEQ637P0,2.0,,ch_3SI7uSKUOwSvugXx1ciwcRv7,CPMT: 40032-DDI00081,CPMT: 40032-DDI00081-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 40032
14/10/2025,47614,47614-DDI00071,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,84.56,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDQV84147M0WWL7VX,2.0,,ch_3SI7umKUOwSvugXx1ufu0dkv,CPMT: 47614-DDI00071,CPMT: 47614-DDI00071-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 47614
14/10/2025,82071,82071-DDI00011,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,565.8,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD03742DQC1PF09ZA,2.0,,ch_3SI7vIKUOwSvugXx0rvB5r53,CPMT: 82071-DDI00011,CPMT: 82071-DDI00011-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 82071
14/10/2025,23146,23146-DDI00103,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,62.18,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD1I6536665N7A0AC,2.0,,ch_3SI7tpKUOwSvugXx1piUimAm,CPMT: 23146-DDI00103,CPMT: 23146-DDI00103-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 23146
14/10/2025,44887,44887-DDI00070,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,869.92,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD0VAY254DCKHRA03,2.0,,ch_3SI7ufKUOwSvugXx0o9Q7M2E,CPMT: 44887-DDI00070,CPMT: 44887-DDI00070-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 44887
14/10/2025,68301,68301-DDI00021,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,153.33,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD6UJUE9D1738I1D3,2.0,,ch_3SI7vBKUOwSvugXx0tX9X0n3,CPMT: 68301-DDI00021,CPMT: 68301-DDI00021-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 68301
22/09/2025,44817,44817-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,186.55,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,,2.0,nan,CPMT: 44817-POA,CPMT: 44817-POA-22/09/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 44817
14/10/2025,58012,58012-DDI00039,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,869.92,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDJ6KGXIWQ340M9W9,2.0,,ch_3SI7v2KUOwSvugXx0KzyOxDQ,CPMT: 58012-DDI00039,CPMT: 58012-DDI00039-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 58012
14/10/2025,22893,22893-DDI00113,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,124.22,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDSGN0FNPXL4XS6G7,2.0,,ch_3SI7tnKUOwSvugXx1anPewZe,CPMT: 22893-DDI00113,CPMT: 22893-DDI00113-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 22893
14/10/2025,55630,55630-DDI00047,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,98.13,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD1RN9VJ9KURL70M3,2.0,,ch_3SI7uvKUOwSvugXx1lSay1cl,CPMT: 55630-DDI00047,CPMT: 55630-DDI00047-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 55630
14/10/2025,20292,20292-DDI00129,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,695.93,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD6FBTHY4QZ772K4T,2.0,,ch_3SI7tgKUOwSvugXx1Y3L0hQJ,CPMT: 20292-DDI00129,CPMT: 20292-DDI00129-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 20292
14/10/2025,28742,28742-DDI00104,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,356.43,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD9H4IC54TQ752D3C,2.0,,ch_3SI7u6KUOwSvugXx0suqIWoL,CPMT: 28742-DDI00104,CPMT: 28742-DDI00104-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 28742
